season,team,M,W,L,NR,Pts,NRR
2008,RR,14,11,3,0,22,0.63
2008,KXIP,14,10,4,0,20,0.51
2008,CSK,14,8,6,0,16,-0.19
2008,DD,14,7,6,1,15,0.34
2008,MI,14,7,7,0,14,0.57
2008,KKR,14,6,7,1,13,-0.15
2008,RCB,14,4,10,0,8,-1.16
2008,DC,14,2,12,0,4,-0.47
2009,DD,14,10,4,0,20,0.311
2009,CSK,14,8,5,1,17,0.951
2009,RCB,14,8,6,0,16,-0.191
2009,DC,14,7,7,0,14,0.203
2009,KXIP,14,7,7,0,14,-0.483
2009,RR,14,6,7,1,13,-0.352
2009,MI,14,5,8,1,11,0.297
2009,KKR,14,3,10,1,7,-0.789
2010,MI,14,10,4,0,20,1.084
2010,DC,14,8,6,0,16,-0.297
2010,CSK,14,7,7,0,14,0.274
2010,RCB,14,7,7,0,14,0.219
2010,DD,14,7,7,0,14,0.021
2010,KKR,14,7,7,0,14,-0.341
2010,RR,14,6,8,0,12,-0.514
2010,KXIP,14,4,10,0,8,-0.478
2011,RCB,14,9,4,1,19,0.326
2011,CSK,14,9,5,0,18,0.443
2011,MI,14,9,5,0,18,0.04
2011,KKR,14,8,6,0,16,0.433
2011,KXIP,14,7,7,0,14,-0.051
2011,RR,14,6,7,1,13,-0.691
2011,DC,14,6,8,0,12,0.222
2011,KTK,14,6,8,0,12,-0.214
2011,PW,14,4,9,1,9,-0.134
2011,DD,14,4,9,1,9,-0.448
2012,DD,16,11,5,0,22,0.617
2012,KKR,16,10,5,1,21,0.561
2012,MI,16,10,6,0,20,-0.1
2012,CSK,16,8,7,1,17,0.1
2012,RCB,16,8,7,1,17,-0.022
2012,KXIP,16,8,8,0,16,-0.216
2012,RR,16,7,9,0,14,0.201
2012,DC,16,4,11,1,9,-0.509
2012,PW,16,4,12,0,8,-0.551
2013,CSK,16,11,5,0,22,0.53
2013,MI,16,11,5,0,22,0.441
2013,RR,16,10,6,0,20,0.322
2013,SRH,16,10,6,0,20,0.003
2013,RCB,16,9,7,0,18,0.457
2013,KXIP,16,8,8,0,16,0.226
2013,KKR,16,6,10,0,12,-0.065
2013,PW,16,4,12,0,8,-1.006
2013,DD,16,3,13,0,6,-0.848
2014,KXIP,14,11,3,0,22,0.968
2014,KKR,14,9,5,0,18,0.418
2014,CSK,14,9,5,0,18,0.385
2014,MI,14,7,7,0,14,0.095
2014,RR,14,7,7,0,14,0.06
2014,SRH,14,6,8,0,12,-0.399
2014,RCB,14,5,9,0,10,-0.428
2014,DD,14,2,12,0,4,-1.182
2015,CSK,14,9,5,0,18,0.709
2015,MI,14,8,6,0,16,-0.043
2015,RCB,14,7,5,2,16,1.037
2015,RR,14,7,5,2,16,0.062
2015,KKR,14,7,6,1,15,0.253
2015,SRH,14,7,7,0,14,-0.239
2015,DD,14,5,8,1,11,-0.049
2015,KXIP,14,3,11,0,6,-1.436
2016,GL,14,9,5,0,18,-0.374
2016,RCB,14,8,6,0,16,0.932
2016,SRH,14,8,6,0,16,0.245
2016,KKR,14,8,6,0,16,0.106
2016,MI,14,7,7,0,14,-0.146
2016,DD,14,7,7,0,14,-0.155
2016,RPS,14,5,9,0,10,0.015
2016,KXIP,14,4,10,0,8,-0.646
2017,MI,14,10,4,0,20,0.784
2017,RPS,14,9,5,0,18,0.176
2017,SRH,14,8,5,1,17,0.599
2017,KKR,14,8,6,0,16,0.641
2017,KXIP,14,7,7,0,14,-0.009
2017,DD,14,6,8,0,12,-0.512
2017,GL,14,4,10,0,8,-0.412
2017,RCB,14,3,10,1,7,-1.299
