"","Season","Team","Bat_First","Field_First","Toss_Wins","Bat_Toss","Field_Toss","Win_by_Runs_avg","Win_by_Wickets_avg","Extras","Dots","Singles","Twos","Threes","Fours","Sixs","Total_Runs","Wickets_Taken","M","W","L","NR","Pts","NRR"
"1","2008","CSK",9,7,5,4,1,14.6,7.25,155,678,632,110,7,244,86,2520,93,14,8,6,0,16,-0.19
"2","2008","DC",8,6,9,4,5,NA,8.5,112,625,577,73,4,205,92,2229,67,14,2,12,0,4,-0.47
"3","2008","DD",6,8,6,2,4,11,7.2,118,499,582,105,4,218,54,2118,96,14,7,6,1,15,0.34
"4","2008","KKR",9,4,6,6,0,47.75,4,141,611,515,87,1,162,76,1942,70,14,6,7,1,13,-0.15
"5","2008","KXIP",7,8,8,4,4,24.6,6.4,124,596,612,98,11,231,95,2464,95,14,10,4,0,20,0.51
"6","2008","MI",6,8,8,1,7,27,8,183,616,491,67,6,197,76,2080,94,14,7,7,0,14,0.57
"7","2008","RCB",7,7,5,2,3,8.5,5,118,637,619,69,2,187,59,1983,65,14,4,10,0,8,-1.16
"8","2008","RR",6,10,11,3,8,56.25,5.44444444444444,177,654,626,120,4,259,85,2601,109,14,11,3,0,22,0.63
"9","2009","CSK",10,4,7,6,1,43.6666666666667,7,147,588,653,105,5,192,73,2231,91,14,8,5,1,17,0.951
"10","2009","DC",8,8,10,5,5,22.8,6.5,125,691,659,157,8,173,99,2408,110,14,7,7,0,14,0.203
"11","2009","DD",7,8,9,4,5,11.6666666666667,7,110,602,634,151,9,188,51,2131,106,14,10,4,0,20,0.311
"12","2009","KKR",7,6,7,4,3,11,5.5,94,605,532,107,8,143,56,1772,59,14,3,10,1,7,-0.789
"13","2009","KXIP",6,8,6,3,3,10.3333333333333,5.5,160,637,619,107,3,140,61,1928,76,14,7,7,0,14,-0.483
"14","2009","MI",8,5,6,6,0,34,8,131,588,592,119,9,145,54,1897,81,14,5,8,1,11,0.297
"15","2009","RCB",6,10,8,5,3,31.6666666666667,5.83333333333333,114,763,648,157,8,192,67,2280,88,14,8,6,0,16,-0.191
"16","2009","RR",5,8,4,2,2,40,5,96,645,524,91,10,148,47,1706,87,14,6,7,1,13,-0.352
"17","2010","CSK",8,8,10,7,3,32.4,6.25,162,654,733,125,6,212,98,2604,103,14,7,7,0,14,0.274
"18","2010","DC",7,9,9,5,4,14.2,6,130,736,692,124,4,197,84,2374,102,14,8,6,0,16,-0.297
"19","2010","DD",6,8,8,5,3,40.25,5.66666666666667,127,553,678,109,8,190,58,2155,96,14,7,7,0,14,0.021
"20","2010","KKR",8,6,7,6,1,22,8,166,628,620,83,6,199,63,2144,73,14,7,7,0,14,-0.341
